id,att_mat,pic_order,most_important_pic_path,most_important_pic
43185808,"[[0.2590777575969696, 0.14865148067474365, 0.16154272854328156, 0.14226284623146057, 0.14108426868915558, 0.14738091826438904], [0.5, 0.0, 0.125, 1.479967792761272e-08, 0.2499999850988388, 0.125], [0.5, 5.170791333358575e-43, 0.125, 0.00014076620573177934, 0.24985924363136292, 0.125], [0.5, 0.0, 0.125, 1.4893504802254552e-18, 0.25, 0.125], [0.5, 0.0, 0.125, 1.4888456932566447e-17, 0.25, 0.125], [0.5, 0.0, 0.125, 1.6974355948606856e-12, 0.25, 0.125]]","['-0.7919150439351791/43185808/A43185808_I3.jpeg', '-0.7919150439351791/43185808/A43185808_I2.jpeg', '-0.7919150439351791/43185808/A43185808_I4.jpeg', '-0.7919150439351791/43185808/A43185808_I1.jpeg', '-0.7919150439351791/43185808/A43185808_I0.jpeg']",-0.7919150439351791/43185808/A43185808_I2.jpeg,2
35012500,"[[0.2694578766822815, 0.1406048983335495, 0.14658550918102264, 0.14408987760543823, 0.15116794407367706, 0.14809393882751465], [0.5, 0.25, 9.571326100352193e-33, 2.2443901113805764e-36, 2.1783933930244125e-36, 0.25], [0.5, 0.25, 2.047329524028734e-24, 3.4145438478449255e-34, 1.0821857721636198e-30, 0.25], [0.5, 0.25, 7.243754950642807e-31, 1.6250048011699512e-31, 3.2265621951991916e-29, 0.25], [0.5, 0.25, 6.392596065935694e-22, 1.529944101161609e-31, 2.3252057358623265e-19, 0.25], [0.5, 0.25, 2.372301049988491e-38, 1.0422113079118167e-27, 7.668069697117892e-34, 0.25]]","['-0.7889345167130304/35012500/A35012500_I0.jpeg', '-0.7889345167130304/35012500/A35012500_I1.jpeg', '-0.7889345167130304/35012500/A35012500_I2.jpeg', '-0.7889345167130304/35012500/A35012500_I3.jpeg', '-0.7889345167130304/35012500/A35012500_I4.jpeg']",-0.7889345167130304/35012500/A35012500_I3.jpeg,3
35026161,"[[0.28077468276023865, 0.14448459446430206, 0.14490419626235962, 0.14321301877498627, 0.14384514093399048, 0.14277838170528412], [0.5, 2.358674828428775e-05, 3.115252351839602e-28, 0.24745726585388184, 0.0025421520695090294, 0.2499769926071167], [0.5, 1.4642175756307552e-06, 5.713464734443402e-24, 0.24859187006950378, 0.0014055700739845634, 0.25000107288360596], [0.5, 0.000702675140928477, 1.4196234539024398e-26, 0.11881181597709656, 0.12497695535421371, 0.25550854206085205], [0.5, 9.549611604597885e-06, 8.744818957214374e-27, 0.21910429000854492, 2.438948513372452e-06, 0.2808837294578552], [0.5, 7.041582648525946e-06, 9.558612951495423e-27, 0.1307002604007721, 0.11922159790992737, 0.25007110834121704]]","['-0.7889345167130304/35026161/A35026161_I0.jpeg', '-0.7889345167130304/35026161/A35026161_I1.jpeg', '-0.7889345167130304/35026161/A35026161_I2.jpeg', '-0.7889345167130304/35026161/A35026161_I3.jpeg', '-0.7889345167130304/35026161/A35026161_I4.jpeg']",-0.7889345167130304/35026161/A35026161_I1.jpeg,1
35025921,"[[0.29021212458610535, 0.14461581408977509, 0.14191728830337524, 0.14392238855361938, 0.14013859629631042, 0.13919378817081451], [0.5, 0.0, 0.125, 0.24782726168632507, 0.125, 0.0021727399434894323], [0.5, 0.0, 0.125, 0.23425796627998352, 0.125, 0.015742026269435883], [0.5, 0.0, 0.125, 0.125, 0.125, 0.125], [0.5, 0.0, 0.125, 0.2499566525220871, 0.125, 4.334405093686655e-05], [0.5, 0.0, 0.125, 0.1277533769607544, 0.125, 0.12224661558866501]]","['-0.7889345167130304/35025921/A35025921_I4.jpeg', '-0.7889345167130304/35025921/A35025921_I2.jpeg', '-0.7889345167130304/35025921/A35025921_I3.jpeg', '-0.7889345167130304/35025921/A35025921_I0.jpeg', '-0.7889345167130304/35025921/A35025921_I1.jpeg']",-0.7889345167130304/35025921/A35025921_I4.jpeg,4
20396246,"[[0.5000002384185791, 0.0029620083514600992, 0.4805644750595093, 0.0010888456599786878, 0.013597449287772179, 0.0017869716975837946], [0.375, 0.0, 0.5, 0.0, 0.125, 0.0], [0.5, 0.0, 0.5, 0.0, 0.0, 0.0], [0.375, 0.0, 0.5, 0.0, 0.125, 0.0], [0.375, 0.0, 0.5, 0.0, 0.125, 0.0], [0.375, 0.0, 0.5, 0.0, 0.125, 0.0]]","['-0.7902371174990065/20396246/A20396246_I1.jpeg', '-0.7902371174990065/20396246/A20396246_I0.jpeg', '-0.7902371174990065/20396246/A20396246_I3.jpeg', '-0.7902371174990065/20396246/A20396246_I2.jpeg', '-0.7902371174990065/20396246/A20396246_I4.jpeg']",-0.7902371174990065/20396246/A20396246_I0.jpeg,0
20406782,"[[0.5000009536743164, 0.005320279393345118, 0.3589974045753479, 0.013968324288725853, 0.09177909791469574, 0.029933929443359375], [0.375, 0.125, 0.5, 0.0, 0.0, 0.0], [0.375, 0.125, 0.5, 0.0, 0.0, 0.0], [0.5, 0.0, 0.5, 0.0, 0.0, 0.0], [0.375, 0.125, 0.5, 0.0, 0.0, 0.0], [0.375, 0.125, 0.5, 0.0, 0.0, 0.0]]","['-0.7902371174990065/20406782/A20406782_I1.jpeg', '-0.7902371174990065/20406782/A20406782_I0.jpeg', '-0.7902371174990065/20406782/A20406782_I4.jpeg', '-0.7902371174990065/20406782/A20406782_I3.jpeg', '-0.7902371174990065/20406782/A20406782_I2.jpeg']",-0.7902371174990065/20406782/A20406782_I0.jpeg,0
20420152,"[[0.5000002384185791, 0.011374987661838531, 0.014241160824894905, 0.11487054079771042, 0.3337915241718292, 0.025721553713083267], [0.375, 0.0, 0.0, 0.375, 0.25, 0.0], [0.375, 0.0, 0.0, 0.375, 0.25, 0.0], [0.5, 0.0, 0.0, 0.25, 0.25, 0.0], [0.375, 0.0, 0.0, 0.375, 0.25, 0.0], [0.375, 0.0, 7.930942014233722e-11, 0.375, 0.25, 4.075027416442637e-20]]","['-0.7902371174990065/20420152/A20420152_I1.jpeg', '-0.7902371174990065/20420152/A20420152_I0.jpeg', '-0.7902371174990065/20420152/A20420152_I3.jpeg', '-0.7902371174990065/20420152/A20420152_I2.jpeg', '-0.7902371174990065/20420152/A20420152_I4.jpeg']",-0.7902371174990065/20420152/A20420152_I2.jpeg,2
43197566,"[[0.5000087022781372, 0.027666565030813217, 0.04851563647389412, 0.026686402037739754, 0.3633117973804474, 0.03381086140871048], [0.375, 0.0, 1.7525479373924757e-40, 0.0, 0.625, 0.0], [0.375, 0.0, 0.0, 0.0, 0.625, 0.0], [0.375, 0.0, 2.22890666141861e-19, 0.0, 0.625, 0.0], [0.375, 0.0, 0.0, 0.0, 0.625, 0.0], [0.375, 0.0, 4.5231398434771273e-26, 0.0, 0.625, 0.0]]","['-0.7919150439351791/43197566/A43197566_I3.jpeg', '-0.7919150439351791/43197566/A43197566_I2.jpeg', '-0.7919150439351791/43197566/A43197566_I4.jpeg', '-0.7919150439351791/43197566/A43197566_I1.jpeg', '-0.7919150439351791/43197566/A43197566_I0.jpeg']",-0.7919150439351791/43197566/A43197566_I1.jpeg,1
29756137,"[[0.625, 5.9658313844579425e-09, 7.715743044478529e-10, 2.102976637274878e-08, 0.3749999701976776, 5.6858788788360926e-09], [0.25, 5.6185037067280064e-08, 1.401298464324817e-45, 0.125, 0.5, 0.12499994039535522], [0.25, 5.480948607841131e-15, 0.0, 0.125, 0.5, 0.125], [0.25, 4.321121686854243e-24, 1.1579249827804601e-36, 0.125, 0.5, 0.125], [0.375, 0.0, 0.0, 0.125, 0.5, 0.0], [0.375, 7.003135632485543e-21, 5.440351383773217e-37, 0.125, 0.5, 5.87906806570615e-11]]","['-0.7924228374619156/29756137/A29756137_I0.jpeg', '-0.7924228374619156/29756137/A29756137_I1.jpeg', '-0.7924228374619156/29756137/A29756137_I2.jpeg', '-0.7924228374619156/29756137/A29756137_I3.jpeg', '-0.7924228374619156/29756137/A29756137_I4.jpeg']",-0.7924228374619156/29756137/A29756137_I3.jpeg,3
42108441,"[[0.625, 3.136945451842621e-06, 9.692624189483467e-06, 0.14915575087070465, 0.14927124977111816, 0.07656016200780869], [0.375, 0.0, 0.0, 0.24358037114143372, 0.2564196288585663, 0.125], [0.375, 0.0, 0.0, 0.24170668423175812, 0.2582933306694031, 0.125], [0.375, 0.0, 0.0, 0.24149252474308014, 0.25850751996040344, 0.125], [0.375, 0.0, 0.0, 0.2414935827255249, 0.2585064172744751, 0.125], [0.375, 0.0, 0.0, 0.2423432469367981, 0.2576567530632019, 0.125]]","['-0.7881176314743675/42108441/A42108441_I1.jpeg', '-0.7881176314743675/42108441/A42108441_I0.jpeg', '-0.7881176314743675/42108441/A42108441_I4.jpeg', '-0.7881176314743675/42108441/A42108441_I3.jpeg', '-0.7881176314743675/42108441/A42108441_I2.jpeg']",-0.7881176314743675/42108441/A42108441_I3.jpeg,3
20385467,"[[0.625, 0.002660319209098816, 2.9644152022001435e-08, 1.2157997844042256e-06, 2.480921921232948e-07, 0.3723381757736206], [0.2504555284976959, 0.0, 0.0, 0.12454445660114288, 0.0, 0.625], [0.25, 8.863324890731614e-40, 0.0, 0.125, 0.0, 0.625], [0.375, 0.0, 0.0, 0.125, 0.0, 0.5], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625]]","['-0.7902371174990065/20385467/A20385467_I4.jpeg', '-0.7902371174990065/20385467/A20385467_I2.jpeg', '-0.7902371174990065/20385467/A20385467_I3.jpeg', '-0.7902371174990065/20385467/A20385467_I0.jpeg', '-0.7902371174990065/20385467/A20385467_I1.jpeg']",-0.7902371174990065/20385467/A20385467_I1.jpeg,1
20418684,"[[0.625, 1.921199588306166e-10, 2.6074450943269767e-05, 0.13696342706680298, 0.00016773035167716444, 0.23784276843070984], [0.25, 0.0, 0.0, 0.5, 0.0, 0.25], [0.25, 0.0, 0.0, 0.5, 0.0, 0.25], [0.25, 0.0, 0.0, 0.5, 0.0, 0.25], [0.25, 0.0, 0.0, 0.5, 0.0, 0.25], [0.25, 0.0, 0.0, 0.5, 0.0, 0.25]]","['-0.7902371174990065/20418684/A20418684_I4.jpeg', '-0.7902371174990065/20418684/A20418684_I2.jpeg', '-0.7902371174990065/20418684/A20418684_I3.jpeg', '-0.7902371174990065/20418684/A20418684_I0.jpeg', '-0.7902371174990065/20418684/A20418684_I1.jpeg']",-0.7902371174990065/20418684/A20418684_I1.jpeg,1
20407916,"[[0.625, 0.0038273988757282495, 0.037071771919727325, 0.00022178290237206966, 0.005675263702869415, 0.32820379734039307], [0.375, 1.1043604050335825e-36, 0.125, 0.0, 0.25, 0.25], [0.25, 0.0, 0.25, 0.0, 0.25, 0.25], [0.25, 7.006492321624085e-45, 0.249571293592453, 4.487145120450652e-37, 0.25, 0.250428706407547], [0.25, 0.0, 0.09079473465681076, 7.697147580132321e-25, 0.28875839710235596, 0.3704468607902527], [0.25, 0.0, 0.125, 1.2719025641290635e-40, 0.375, 0.25]]","['-0.7902371174990065/20407916/A20407916_I1.jpeg', '-0.7902371174990065/20407916/A20407916_I0.jpeg', '-0.7902371174990065/20407916/A20407916_I4.jpeg', '-0.7902371174990065/20407916/A20407916_I3.jpeg', '-0.7902371174990065/20407916/A20407916_I2.jpeg']",-0.7902371174990065/20407916/A20407916_I2.jpeg,2
20388056,"[[0.625, 0.00032335458672605455, 0.0002992640365846455, 5.2264667260715214e-08, 0.01549957413226366, 0.3588777780532837], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625], [0.25, 0.0, 0.0, 0.125, 7.117734882447516e-21, 0.625], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625]]","['-0.7902371174990065/20388056/A20388056_I4.jpeg', '-0.7902371174990065/20388056/A20388056_I3.jpeg', '-0.7902371174990065/20388056/A20388056_I2.jpeg', '-0.7902371174990065/20388056/A20388056_I1.jpeg', '-0.7902371174990065/20388056/A20388056_I0.jpeg']",-0.7902371174990065/20388056/A20388056_I0.jpeg,0
204015411111,"[[0.625, 2.602274224735179e-18, 1.2052272160623217e-17, 1.769161372067174e-06, 1.251541052868163e-13, 0.3749982416629791], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625], [0.25, 0.0, 0.0, 3.6757374818757646e-37, 0.0, 0.75], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625], [0.25, 0.0, 0.0, 0.0, 0.0, 0.75], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625]]","['-0.7902371174990065/204015411111/A20401541_I3.jpeg', '-0.7902371174990065/204015411111/A20401541_I2.jpeg', '-0.7902371174990065/204015411111/A20401541_I4.jpeg', '-0.7902371174990065/204015411111/A20401541_I1.jpeg', '-0.7902371174990065/204015411111/A20401541_I0.jpeg']",-0.7902371174990065/204015411111/A20401541_I0.jpeg,0
20401541111,"[[0.625, 2.602274224735179e-18, 1.2052272160623217e-17, 1.769161372067174e-06, 1.251541052868163e-13, 0.3749982416629791], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625], [0.25, 0.0, 0.0, 3.6757374818757646e-37, 0.0, 0.75], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625], [0.25, 0.0, 0.0, 0.0, 0.0, 0.75], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625]]","['-0.7902371174990065/20401541111/A20401541_I3.jpeg', '-0.7902371174990065/20401541111/A20401541_I2.jpeg', '-0.7902371174990065/20401541111/A20401541_I4.jpeg', '-0.7902371174990065/20401541111/A20401541_I1.jpeg', '-0.7902371174990065/20401541111/A20401541_I0.jpeg']",-0.7902371174990065/20401541111/A20401541_I0.jpeg,0
20401541,"[[0.625, 2.602274224735179e-18, 1.2052272160623217e-17, 1.769161372067174e-06, 1.251541052868163e-13, 0.3749982416629791], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625], [0.25, 0.0, 0.0, 3.6757374818757646e-37, 0.0, 0.75], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625], [0.25, 0.0, 0.0, 0.0, 0.0, 0.75], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625]]","['-0.7902371174990065/20401541/A20401541_I3.jpeg', '-0.7902371174990065/20401541/A20401541_I2.jpeg', '-0.7902371174990065/20401541/A20401541_I4.jpeg', '-0.7902371174990065/20401541/A20401541_I1.jpeg', '-0.7902371174990065/20401541/A20401541_I0.jpeg']",-0.7902371174990065/20401541/A20401541_I0.jpeg,0
204015411,"[[0.625, 2.602274224735179e-18, 1.2052272160623217e-17, 1.769161372067174e-06, 1.251541052868163e-13, 0.3749982416629791], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625], [0.25, 0.0, 0.0, 3.6757374818757646e-37, 0.0, 0.75], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625], [0.25, 0.0, 0.0, 0.0, 0.0, 0.75], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625]]","['-0.7902371174990065/204015411/A20401541_I3.jpeg', '-0.7902371174990065/204015411/A20401541_I2.jpeg', '-0.7902371174990065/204015411/A20401541_I4.jpeg', '-0.7902371174990065/204015411/A20401541_I1.jpeg', '-0.7902371174990065/204015411/A20401541_I0.jpeg']",-0.7902371174990065/204015411/A20401541_I0.jpeg,0
2040154111,"[[0.625, 2.6022940770698803e-18, 1.2052455794719204e-17, 1.7691611446934985e-06, 1.251550675162444e-13, 0.3749982416629791], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625], [0.25, 0.0, 0.0, 3.6757374818757646e-37, 0.0, 0.75], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625], [0.25, 0.0, 0.0, 0.0, 0.0, 0.75], [0.25, 0.0, 0.0, 0.125, 0.0, 0.625]]","['-0.7902371174990065/2040154111/A20401541_I3.jpeg', '-0.7902371174990065/2040154111/A20401541_I2.jpeg', '-0.7902371174990065/2040154111/A20401541_I4.jpeg', '-0.7902371174990065/2040154111/A20401541_I1.jpeg', '-0.7902371174990065/2040154111/A20401541_I0.jpeg']",-0.7902371174990065/2040154111/A20401541_I0.jpeg,0
